,LowerDeck T,UpperDeck T,GreenHab T,RAM T,LowerDeck P,UpperDeck P,GreenHab P,RAM P,LowerDeck H,UpperDeck H,GreenHab H,RAM H,LowerDeck V,UpperDeck V,GreenHab V,RAM V,LowerDeck FS,UpperDeck FS,GreenHab FS,RAM FS,LowerDeck INF,UpperDeck INF,GreenHab INF,RAM INF,LowerDeck LUM,UpperDeck LUM,GreenHab LUM,RAM LUM
Moyenne,17.18818213486068,21.646196578942437,26.41621280289389,3.364480062255508,8584.126290800506,8582.707414228726,8591.73557237839,8587.378577859885,21.891429667974172,18.527708144598964,23.89910429374694,47.47259988915746,337.5363138713027,490.79547051104197,1686.5391766135754,717.5532692650796,539.6433105782833,578.6152444734586,16954.6347222544,1545.344467975483,188.47801183405423,175.91533619356113,23796.154300271905,1279.2199846107196,32.389918043875724,50.99547625707114,91.880957410019,78.39981054489098
Ecart-type,1.8263666904086342,0.8252485489708246,6.554579291590128,3.8488217965946765,41.59539060827793,37.954615870702796,41.354504659029516,30.78521641842138,5.448986286575685,3.80153498499328,6.9805502528928125,10.55550675215901,852.0934524940997,375.9931229396124,2514.847026758062,667.8474818732866,1225.8767564664581,450.7468618199766,16323.193589223965,1590.5832031468374,259.8157975628497,154.58521154927325,11440.170356152968,563.6601521413724,92.05299437918302,30.025681328251974,133.2122817693723,71.92198124617246
Min,12.65,17.49,15.04,-8.29,8494.85,8493.52,8503.73,8506.5,8.57,7.83,4.05,6.85,1.0,1.0,1.0,-0.5959805959805959,1.0,1.0,1.0,-0.5904365904365905,1.0,1.0,1.0,-0.7962577962577962,0.05,0.05,0.01,-0.7895749234298237
Max,24.06,25.41,55.89,18.81,8678.57,8674.65,8686.94,8681.46,39.44,32.69,52.0,83.46,3987.0,4776.0,14441.0,5763.0,5152.0,2269.0,37889.0,13745.0,1104.0,798.0,37889.0,5848.0,503.98,159.73,891.8,569.76
Médiane,17.25,21.65,25.97,3.3644800622550046,8584.71,8582.707414228837,8591.735572378257,8587.378577861917,21.49,18.46,23.89910429374807,47.47259988916419,24.0,476.0,1686.5391766137866,717.5532692649252,40.0,536.0,16954.634722254388,1545.3444679758966,109.0,157.0,23796.15430027145,1279.2199846109975,2.545,50.16,91.88095741003228,78.39981054486884
